,CRSHDATE,CRSHTIME,LATDECDG,LONDECDG,ANMLTY01,ANMLTY07,countyname,year,Road
7553,2017-06-09,1125,44.915614825,-88.86911002,Turkey,,Shawano,2017,RIVER RD - Shawano
7574,2017-06-07,2018,42.68343801,-88.34200436,Turkey,,Walworth,2017,State Highway011
7688,2017-06-18,1412,43.815973885,-89.07739891,Turkey,,Green Lake,2017,State Highway073
7735,2017-06-23,1258,44.646869059,-87.46301217,Turkey,,Kewaunee,2017,State Highway042
7908,2017-06-27,1845,45.240438079,-89.67652591,Turkey,,Lincoln,2017,US Highway051
8163,2017-06-29,1742,43.085944075,-88.78819419,Turkey,,Jefferson,2017,Interstate094
8175,2017-06-30,930,42.930465601,-88.42282183,Turkey,,Waukesha,2017,State Highway059
8213,2017-06-23,2020,43.282116251,-88.73525488,Turkey,,Dodge,2017,State Highway016
8358,2017-06-04,910,44.819491291,-89.05158758,Turkey,,Shawano,2017,State Highway029
8427,2017-07-04,1742,44.367881457,-89.35161516,Turkey,,Portage,2017,State Highway054
8936,2017-07-12,1015,44.86584137,-92.73116363,Turkey,,St. Croix,2017,County HighwayF
8978,2017-07-15,1415,44.271536241,-89.00173356,Turkey,,Waupaca,2017,County HighwayX
9011,2017-07-17,805,43.637677006,-88.22349095,Turkey,,Fond du Lac,2017,HAPPY HOLLOW RD - Fond du Lac
9112,2017-07-19,620,43.468894223,-88.10563347,Turkey,,Washington,2017,County HighwayA
9983,2017-08-16,1453,43.832508559,-88.61462002,Turkey,,Fond du Lac,2017,TOWN HALL RD - Fond du Lac
10015,2017-08-16,929,45.164673011,-89.64335907,Turkey,,Lincoln,2017,US Highway051
10106,2017-08-23,1225,44.792673255,-89.77292236,Turkey,,Marathon,2017,State Highway153
10534,2017-09-04,1230,45.173984125,-87.9958892,Turkey,,Marinette,2017,US Highway141
10866,2017-09-13,1600,44.7593592,-88.55823437,Turkey,,Shawano,2017,State Highway029
11221,2017-09-25,1256,44.309473143,-88.96305124,Turkey,,Waupaca,2017,County HighwayX
11403,2017-09-28,1724,42.579364023,-89.02324995,Turkey,,Rock,2017,US Highway051
11775,2017-10-03,1529,44.742088593,-87.58448302,Turkey,,Door,2017,State Highway057
12804,2017-10-15,1708,44.6151949,-88.05054089,Turkey,,Brown,2017,W DEERFIELD AVE - Brown
13367,2017-10-20,1830,42.825221296,-89.07179737,Turkey,,Rock,2017,US Highway051
14116,2017-10-22,1525,45.82273554,-88.3866281,Turkey,,Florence,2017,State Highway101
16915,2017-11-15,1432,44.383491886,-88.94992211,Turkey,,Waupaca,2017,State Highway022
17424,2017-11-20,925,43.753580917,-88.3581577,Turkey,,Fond du Lac,2017,County HighwayT
19680,2017-12-17,1725,43.989195386,-90.45284012,Turkey,,Monroe,2017,Interstate094
19908,2017-12-03,1421,42.92711312,-88.876185,Turkey,,Jefferson,2017,State Highway026
20922,2018-01-05,944,43.40203727,-88.32347491,Turkey,,Washington,2018,Interstate041
21135,2018-01-09,1350,44.2066138,-90.66455258,Turkey,,Jackson,2018,Interstate094
21708,2018-01-27,855,42.874341267,-90.73223499,Turkey,,Grant,2018,County HighwayK
22507,2018-02-05,1216,44.680168385,-89.06512311,Turkey,,Shawano,2018,COUNTY LINE RD - Shawano
22746,2018-02-19,831,43.009748086,-88.83210901,Turkey,,Jefferson,2018,State Highway026
